,BHK,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Rent
999,2,750,1,Carpet Area,Mumbai,Semi-Furnished,Family,2,39000
1000,3,1100,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,70000
1001,4,5000,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,1200000
1002,1,596,1,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,25000
1003,2,680,3,Carpet Area,Mumbai,Unfurnished,Bachelors,2,45000
1004,4,1950,11,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,190000
1005,3,1350,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,140000
1006,1,510,3,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,35000
1007,1,500,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,60000
1008,1,375,13,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,15000
1009,1,500,2,Carpet Area,Mumbai,Furnished,Family,1,39000
1010,3,1500,8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,190000
1011,3,1000,18,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,84000
1012,3,1260,27,Carpet Area,Mumbai,Unfurnished,Family,3,68000
1013,1,475,8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,26000
1014,2,620,6,Carpet Area,Mumbai,Semi-Furnished,Family,2,42000
1015,1,490,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,35000
1016,2,710,13,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,44000
1017,2,720,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,60000
1018,2,770,2,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,45000
1019,3,1600,19,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,250000
1020,1,500,0,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,65000
1021,1,350,1,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,20000
1022,2,1000,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,75000
1023,5,3900,4,Carpet Area,Mumbai,Furnished,Bachelors/Family,5,500000
1024,3,1000,3,Carpet Area,Mumbai,Semi-Furnished,Family,3,140000
1025,2,660,25,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,45000
1026,1,600,4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,9400
1027,2,900,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,100000
1028,2,750,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,65000
1029,2,1000,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,230000
1030,3,1500,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,180000
1031,2,1200,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,180000
1032,3,1200,10,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,120000
1033,1,280,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,20000
1034,2,1000,10,Carpet Area,Mumbai,Furnished,Bachelors,2,130000
1035,3,1800,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,400000
1036,2,694,1,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,75000
1037,5,3250,12,Carpet Area,Mumbai,Unfurnished,Family,5,350000
1038,3,1740,21,Super Area,Mumbai,Furnished,Bachelors/Family,4,100000
1039,2,750,8,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,55000
1040,3,1000,12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,70000
1041,1,500,3,Super Area,Mumbai,Furnished,Bachelors/Family,1,30000
1042,4,2000,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors,5,330000
1043,1,550,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,75000
1044,1,270,6,Carpet Area,Mumbai,Unfurnished,Bachelors,1,14000
1045,3,960,9,Carpet Area,Mumbai,Semi-Furnished,Family,3,130000
1046,3,1200,2,Super Area,Mumbai,Semi-Furnished,Family,2,40000
1047,2,710,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,46000
1048,1,472,13,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,27000
1049,2,1000,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,95000
1050,2,800,14,Carpet Area,Mumbai,Semi-Furnished,Family,2,94000
1051,2,650,7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,40000
1052,3,1300,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,150000
1053,2,600,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,30000
1054,2,750,7,Carpet Area,Mumbai,Furnished,Bachelors,2,95000
1055,2,890,45,Carpet Area,Mumbai,Semi-Furnished,Family,2,130000
1056,1,421,3,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,14000
1057,3,1300,12,Carpet Area,Mumbai,Semi-Furnished,Family,3,100000
1058,1,350,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,35000
1059,2,800,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,57000
1060,2,650,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,45000
1061,1,650,18,Super Area,Mumbai,Furnished,Bachelors/Family,2,11000
1062,2,650,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,50000
1063,2,680,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,35000
1064,2,800,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,100000
1065,3,1250,12,Carpet Area,Mumbai,Semi-Furnished,Family,3,130000
1066,1,475,10,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,52000
1067,2,600,1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,28000
1068,1,450,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,18000
1069,1,400,3,Super Area,Mumbai,Unfurnished,Bachelors,1,30000
1070,3,985,-2,Carpet Area,Mumbai,Unfurnished,Family,3,45000
1071,3,1450,3,Carpet Area,Mumbai,Unfurnished,Bachelors,3,130000
1072,2,650,15,Carpet Area,Mumbai,Semi-Furnished,Family,2,58000
1073,2,805,48,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,65000
1074,1,650,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,24000
1075,1,515,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,54500
1076,3,1000,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,70000
1077,3,1050,6,Carpet Area,Mumbai,Semi-Furnished,Family,3,67000
1078,2,777,17,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,75000
1079,2,831,16,Carpet Area,Mumbai,Unfurnished,Family,2,45000
1080,3,1233,35,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,98000
1081,1,250,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,16000
1082,2,900,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,95000
1083,2,753,11,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,40000
1084,3,1800,8,Carpet Area,Mumbai,Furnished,Bachelors,3,300000
1085,2,670,5,Carpet Area,Mumbai,Unfurnished,Bachelors,2,80000
1086,4,2800,50,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,380000
1087,3,1197,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,160000
1088,2,880,12,Carpet Area,Mumbai,Unfurnished,Bachelors,2,44000
1089,2,1000,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,200000
1090,2,935,2,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,65000
1091,2,751,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,50000
1092,1,200,0,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,6000
1093,4,2500,24,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,280000
1094,1,500,6,Carpet Area,Mumbai,Furnished,Family,1,46000
1095,1,430,15,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,35000
1096,3,1088,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,75000
1097,1,330,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,20000
1098,1,400,-1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,25000
1099,3,1200,6,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,110000
1100,2,700,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,29500
1101,3,1000,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,53000
1102,2,750,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,85000
1103,1,450,6,Carpet Area,Mumbai,Unfurnished,Bachelors,2,26000
1104,1,640,11,Super Area,Mumbai,Furnished,Bachelors/Family,2,33000
1105,3,1190,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,180000
1106,3,850,5,Super Area,Mumbai,Unfurnished,Bachelors,3,70000
1107,1,330,0,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,17000
1108,2,685,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,37000
1109,1,400,6,Carpet Area,Mumbai,Unfurnished,Bachelors,2,27000
1110,1,500,8,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,35500
1111,1,550,2,Carpet Area,Mumbai,Unfurnished,Bachelors,1,24000
1112,4,2500,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,250000
1113,3,1100,6,Carpet Area,Mumbai,Furnished,Family,3,180000
1114,2,650,3,Carpet Area,Mumbai,Unfurnished,Family,2,18500
1115,3,1400,8,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,200000
1116,2,1050,14,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,70000
1117,3,850,6,Carpet Area,Mumbai,Unfurnished,Bachelors,3,55000
1118,1,550,0,Carpet Area,Mumbai,Unfurnished,Bachelors,1,24000
1119,2,750,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,55000
1120,3,1350,23,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,150000
1121,2,800,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,50000
1122,4,2650,14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,300000
1123,3,975,29,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,90100
1124,3,1325,15,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,57000
1125,2,700,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,40000
1126,2,700,3,Carpet Area,Mumbai,Furnished,Family,2,80000
1127,2,850,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,95000
1128,1,305,10,Carpet Area,Mumbai,Unfurnished,Bachelors,1,14000
1129,2,850,8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,50000
1130,2,724,6,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,43000
1131,2,650,8,Carpet Area,Mumbai,Furnished,Bachelors,2,55000
1132,2,650,5,Carpet Area,Mumbai,Unfurnished,Family,2,35000
1133,2,700,15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,33000
1134,2,785,4,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,47000
1135,3,1250,15,Carpet Area,Mumbai,Semi-Furnished,Family,3,75000
1136,4,1016,3,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,45000
1137,1,380,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,36000
1138,1,475,18,Carpet Area,Mumbai,Unfurnished,Bachelors,1,40000
1139,1,444,8,Carpet Area,Mumbai,Unfurnished,Bachelors,2,40000
1140,2,640,6,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,32000
1141,1,320,23,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,17000
1142,3,1100,16,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,77000
1143,4,1500,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,290000
1144,2,650,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,35000
1145,1,508,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,40000
1146,4,2500,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,250000
1147,2,720,-1,Carpet Area,Mumbai,Unfurnished,Bachelors,2,47000
1148,2,750,0,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,50000
1149,1,430,2,Carpet Area,Mumbai,Unfurnished,Family,1,32000
1150,2,623,6,Carpet Area,Mumbai,Unfurnished,Family,2,8000
1151,3,1358,40,Carpet Area,Mumbai,Semi-Furnished,Family,4,240000
1152,3,1000,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,85000
1153,3,1100,25,Carpet Area,Mumbai,Unfurnished,Bachelors,3,65000
1154,3,1255,12,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,75000
1155,1,450,5,Carpet Area,Mumbai,Furnished,Family,2,26500
1156,2,650,3,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,45000
1157,2,955,34,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,95000
1158,2,700,-1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,38000
1159,3,1915,8,Super Area,Mumbai,Semi-Furnished,Family,4,260000
1160,4,2308,9,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,300000
1161,3,1250,11,Carpet Area,Mumbai,Semi-Furnished,Family,3,180000
1162,2,625,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,40000
1163,4,2200,7,Carpet Area,Mumbai,Furnished,Family,4,300000
1164,2,870,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,85000
1165,3,1300,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,110000
1166,2,750,2,Carpet Area,Mumbai,Unfurnished,Family,2,40000
1167,2,750,2,Super Area,Mumbai,Furnished,Bachelors,2,45000
1168,2,550,3,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,52000
1169,4,1250,2,Carpet Area,Mumbai,Furnished,Family,4,90000
1170,3,1400,11,Carpet Area,Mumbai,Semi-Furnished,Family,3,140000
1171,3,1330,32,Carpet Area,Mumbai,Semi-Furnished,Family,4,150000
1172,3,1000,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,65000
1173,2,770,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,50000
1174,2,800,3,Carpet Area,Mumbai,Unfurnished,Family,2,54000
1175,4,1691,20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,180000
1176,1,550,12,Carpet Area,Mumbai,Furnished,Bachelors,2,60000
1177,2,800,10,Carpet Area,Mumbai,Unfurnished,Family,2,65000
1178,2,615,6,Carpet Area,Mumbai,Unfurnished,Family,2,35000
1179,2,663,25,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,43000
1180,1,400,3,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,20000
1181,2,625,9,Carpet Area,Mumbai,Furnished,Bachelors,2,57000
1182,4,1432,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,130000
1183,1,425,3,Carpet Area,Mumbai,Unfurnished,Bachelors,1,25000
1184,2,649,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,56000
1185,2,905,10,Carpet Area,Mumbai,Unfurnished,Bachelors,2,55000
1186,2,882,10,Super Area,Mumbai,Unfurnished,Bachelors,2,18000
1187,3,1200,4,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,100000
1188,2,736,16,Carpet Area,Mumbai,Unfurnished,Family,2,76000
1189,3,1710,25,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,270000
1190,1,225,3,Carpet Area,Mumbai,Unfurnished,Bachelors,1,45000
1191,2,720,-1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,39000
1192,1,555,6,Super Area,Mumbai,Unfurnished,Bachelors,1,12500
1193,1,415,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,35000
1194,2,649,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,55000
1195,3,1000,3,Carpet Area,Mumbai,Furnished,Bachelors,2,90000
1196,2,1300,-1,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,250000
1197,2,1065,15,Super Area,Mumbai,Furnished,Bachelors/Family,2,25000
1198,2,854,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,90000
1199,3,1200,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,120000
1200,1,500,8,Carpet Area,Mumbai,Unfurnished,Bachelors,1,55000
1201,3,906,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,70000
1202,3,1800,11,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,300000
1203,2,500,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,25000
1204,1,450,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,35000
1205,3,1130,3,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,120000
1206,1,495,5,Super Area,Mumbai,Furnished,Bachelors/Family,2,27000
1207,1,407,5,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,25000
1208,3,1092,60,Carpet Area,Mumbai,Semi-Furnished,Family,3,150000
1209,2,610,11,Carpet Area,Mumbai,Unfurnished,Family,2,32000
1210,1,500,13,Super Area,Mumbai,Furnished,Bachelors/Family,2,40000
1211,2,750,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,52000
1212,2,750,6,Carpet Area,Mumbai,Furnished,Bachelors,2,80000
1213,2,850,6,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,55000
1214,1,350,5,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,30000
1215,1,300,2,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,20000
1216,1,695,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,85000
1217,1,415,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,40000
1218,1,450,3,Carpet Area,Mumbai,Unfurnished,Bachelors,2,21000
1219,3,850,8,Carpet Area,Mumbai,Unfurnished,Family,3,43000
1220,2,805,30,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,58000
1221,2,700,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,130000
1222,3,1800,10,Carpet Area,Mumbai,Furnished,Family,4,260000
1223,2,669,15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,46000
1224,1,325,7,Carpet Area,Mumbai,Unfurnished,Family,1,6500
1225,1,600,5,Super Area,Mumbai,Furnished,Bachelors/Family,1,21000
1226,2,725,-1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,46000
1227,2,750,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,60000
1228,3,1050,13,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,65000
1229,2,600,18,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,15000
1230,2,1000,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,130000
1231,3,1110,9,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,90000
1232,2,650,11,Carpet Area,Mumbai,Unfurnished,Family,2,62000
1233,3,1100,8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,160000
1234,3,1100,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,80000
1235,3,1110,49,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,80000
1236,3,999,14,Carpet Area,Mumbai,Semi-Furnished,Family,2,55000
1237,3,1000,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,100000
1238,4,2200,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,200000
1239,3,1256,10,Carpet Area,Mumbai,Furnished,Family,3,100000
1240,2,750,17,Carpet Area,Mumbai,Semi-Furnished,Family,2,79500
1241,3,889,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,84500
1242,2,750,14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,100000
1243,1,385,6,Carpet Area,Mumbai,Unfurnished,Family,1,13000
1244,4,1454,5,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,100000
1245,1,480,1,Carpet Area,Mumbai,Semi-Furnished,Family,2,35000
1246,2,660,12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,72000
1247,3,1600,9,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,180000
1248,1,434,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,26000
1249,3,1121,7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,72000
1250,1,620,6,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,8000
1251,3,937,16,Carpet Area,Mumbai,Furnished,Family,2,130000
1252,1,470,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,52000
1253,1,410,2,Carpet Area,Mumbai,Unfurnished,Family,1,13000
1254,3,850,5,Carpet Area,Mumbai,Unfurnished,Family,3,45000
1255,3,1500,15,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,180000
1256,2,888,12,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,63000
1257,1,380,3,Carpet Area,Mumbai,Unfurnished,Bachelors,2,7500
1258,1,360,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,30000
1259,1,565,1,Super Area,Mumbai,Furnished,Bachelors/Family,2,28500
1260,3,2000,25,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,4,100000
1261,4,1358,25,Carpet Area,Mumbai,Semi-Furnished,Family,4,270000
1262,2,661,17,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,38000
1263,1,450,9,Carpet Area,Mumbai,Unfurnished,Family,2,26000
1264,3,1300,6,Carpet Area,Mumbai,Unfurnished,Bachelors,3,70000
1265,2,600,4,Carpet Area,Mumbai,Furnished,Family,2,41000
1266,2,900,0,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,27000
1267,1,379,21,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,53000
1268,2,805,8,Carpet Area,Mumbai,Semi-Furnished,Family,3,65000
1269,1,650,3,Super Area,Mumbai,Furnished,Bachelors/Family,2,85000
1270,1,500,8,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,6000
1271,1,480,5,Carpet Area,Mumbai,Furnished,Family,2,43000
1272,2,550,1,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,65000
1273,3,1600,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,280000
1274,3,1400,4,Carpet Area,Mumbai,Semi-Furnished,Family,2,98000
1275,3,1500,20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,330000
1276,3,1050,3,Carpet Area,Mumbai,Unfurnished,Bachelors,3,65000
1277,3,920,4,Carpet Area,Mumbai,Unfurnished,Family,3,85000
1278,1,450,8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,40000
1279,1,440,0,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,23000
1280,3,932,3,Super Area,Mumbai,Unfurnished,Bachelors/Family,3,55000
1281,1,270,15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,15000
1282,1,379,23,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,52000
1283,2,582,5,Carpet Area,Mumbai,Furnished,Family,2,13000
1284,2,800,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,95000
1285,1,444,7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,25000
1286,1,428,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,21000
1287,5,1880,11,Carpet Area,Mumbai,Furnished,Family,4,360000
1288,2,888,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,60000
1289,1,490,0,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,19000
1290,3,937,28,Carpet Area,Mumbai,Unfurnished,Family,4,140000
1291,2,710,12,Carpet Area,Mumbai,Unfurnished,Family,2,30000
1292,4,1617,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,130000
1293,2,836,6,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,80000
1294,2,1200,36,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,85000
1295,2,950,9,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,65000
1296,1,460,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,33000
1297,1,585,10,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,36000
1298,2,550,2,Carpet Area,Mumbai,Furnished,Family,2,22000
1299,1,375,9,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,17000
1300,2,700,10,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,55000
1301,2,750,2,Carpet Area,Mumbai,Unfurnished,Family,2,66000
1302,4,2000,6,Carpet Area,Mumbai,Furnished,Family,4,140000
1303,4,2046,22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,260000
1304,2,750,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,32000
1305,2,730,5,Carpet Area,Mumbai,Unfurnished,Family,2,45000
1306,2,750,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,50000
1307,1,229,5,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,18500
1308,2,910,10,Carpet Area,Mumbai,Unfurnished,Bachelors,2,51000
1309,4,1648,21,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,140000
1310,3,1100,48,Carpet Area,Mumbai,Unfurnished,Family,3,80000
1311,1,560,2,Carpet Area,Mumbai,Unfurnished,Bachelors,2,30000
1312,2,850,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,85000
1313,1,450,2,Super Area,Mumbai,Unfurnished,Family,1,15000
1314,2,820,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,50000
1315,2,750,10,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,60000
1316,1,410,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,23000
1317,1,490,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,14500
1318,2,700,11,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,40000
1319,5,3000,8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,650000
1320,1,560,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,80000
1321,2,650,8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,55000
1322,1,520,2,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,12000
1323,2,850,9,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,45000
1324,2,777,19,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,90000
1325,2,771,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,43000
1326,1,400,3,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,22000
1327,2,600,7,Carpet Area,Mumbai,Furnished,Family,2,20000
1328,1,390,-1,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,26000
1329,4,3200,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,850000
1330,1,450,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,34999
1331,1,500,7,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,35000
1332,1,410,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,50000
1333,1,160,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,16000
